username,timezone,nretweets,nlikes,geo,hour,place,count,likesCount,group
szymekstream,100,835.0,7983.0,,14,,4286,1.8625758282781149,0
nostromo242,100,149.0,2488.0,,10,,2628,0.9467275494672754,0
mucalukas,100,314.0,5866.0,,22,,2064,2.8420542635658914,0
mbalawelder,100,54123.0,152972.0,,0,,15235,10.040827042993106,0
lili_pom11,100,2615.0,25070.0,,19,,6897,3.634913730607512,0
2012paolo,100,9070.0,105792.0,,8,,28616,3.6969527537042213,1
ppalimpsestt,100,74.0,1124.0,,22,,1747,0.6433886662850601,1
wilk00,100,598.0,3973.0,,22,,1645,2.4151975683890576,1
p_kolawa,100,0.0,2.0,,18,,13,0.15384615384615385,1
ptacie1,100,2233.0,10295.0,,21,,756,13.617724867724867,1
lekcjawos,100,55.0,881.0,,21,,860,1.0244186046511627,1
erdmanngrzegorz,100,787.0,15135.0,,10,,7586,1.9951225942525703,1
eweritta,100,24495.0,110543.0,,21,,21309,5.187620254352621,1
bo_szymoniak,100,2359.0,55891.0,,13,,6839,8.172393624798946,1
sebastianjaw,100,43.0,968.0,,12,,944,1.0254237288135593,1
remek50,100,581.0,4295.0,,19,,2992,1.4354946524064172,1
sejmowa,100,267.0,1461.0,,20,,521,2.804222648752399,1
twarogmarcin,100,289.0,956.0,,13,,357,2.677871148459384,1
lubelakus,100,237.0,9262.0,,20,,3999,2.3160790197549392,1
krystianmiasik,100,6.0,328.0,,20,,351,0.9344729344729344,1
magdamswms,100,20804.0,202303.0,,21,,25052,8.075323327478843,1
adawaz7,100,212.0,2818.0,,20,,3224,0.8740694789081885,1
takzciekawosci,100,33.0,873.0,,22,,3341,0.2612990122717749,1
padenys,100,1600.0,38977.0,,7,,28503,1.3674700908676278,1
karolusp,100,76.0,1351.0,,13,,777,1.7387387387387387,2
arturnowak19,100,13.0,252.0,,12,,254,0.9921259842519684,1
michalmx4,100,43.0,930.0,,7,,1672,0.5562200956937801,1
boris_zee_blade,100,400.0,9485.0,,8,,5762,1.6461298160360986,1
zjurga,100,630.0,5471.0,,7,,12545,0.4361100039856517,2
zibigdy,100,720.0,4318.0,,12,,5314,0.8125705683101242,1
aleks617,100,20.0,86.0,,13,,848,0.10141509433962263,1
janpoplawski,100,1357.0,7786.0,,10,,3062,2.5427824951012408,1
irek1666,100,393.0,5260.0,,16,,3025,1.7388429752066117,1
piostar_blog,100,2791.0,25069.0,,8,,4796,5.227064220183486,1
aletkiewicz,100,19952.0,84390.0,,9,,6608,12.770883777239707,1
adamadamus76,100,534.0,4233.0,,13,,1991,2.1260673028628827,1
fitnessklubnr1,100,106.0,3731.0,,20,,4461,0.8363595606366285,1
beata___ka,100,110957.0,556183.0,,8,,10549,52.72376528580908,1
grzegorzkrajski,100,21373.0,98018.0,,19,,23515,4.168318094833087,1
norbertpl,100,25.0,596.0,,8,,655,0.9099236641221374,1
garetg3,100,134.0,4012.0,,10,,3537,1.1342945999434548,1
dstanderski,100,5747.0,34267.0,,10,,622,55.09163987138264,1
oloczarny,100,68015.0,552700.0,,11,,13311,41.52204943279993,1
lbokszczanin,100,779.0,3097.0,,8,,804,3.8519900497512434,1
patryk_mitera,100,313.0,1838.0,,22,,3431,0.5357038764208686,1
maya80725645,100,640.0,5712.0,,21,,3518,1.6236498010233087,2
jasiu320,100,20353.0,148841.0,,21,,9615,15.480083203328133,1
jolasekwolszy,100,5094.0,23458.0,,3,,5601,4.188180682021068,1
holownia_k,100,792.0,5230.0,,10,,780,6.7051282051282035,1
hochstriess,100,3744.0,28485.0,,10,,8075,3.527554179566564,1
tdudkowski,100,80.0,510.0,,16,,1361,0.3747244673034533,1
katarzynabrandt,100,2045.0,12903.0,,16,,5518,2.338347227256252,1
wlodw,100,203.0,3332.0,,23,,2446,1.3622240392477514,1
antybeton,100,1025.0,14530.0,,19,,3102,4.684074790457768,1
krepacz,100,1306.0,4732.0,,9,,6016,0.7865691489361702,1
definition74,100,610.0,13235.0,,21,,4831,2.739598426826744,1
perwersyjny_,100,245.0,897.0,,19,,504,1.7797619047619049,2
d_ruszkowski,100,36.0,444.0,,0,,336,1.3214285714285714,1
07zglaszasie,100,215.0,4644.0,,15,,2647,1.7544389875330564,2
gdemokratyczna,100,3003.0,11758.0,,10,,3475,3.3835971223021586,1
marcinsnopkowsk,100,2277.0,16211.0,,10,,5856,2.768271857923497,1
wiesci24pl,100,60292.0,122587.0,,14,,7603,16.12350388004735,1
gadudajnia,100,2888.0,4943.0,,10,,1268,3.898264984227128,1
olejnik_lukasz1,100,34573.0,114915.0,,8,,1927,59.634146341463406,1
f3jk,100,25.0,363.0,,15,,1041,0.34870317002881845,1
renkelg,100,58.0,751.0,,23,,507,1.4812623274161736,1
matu_w_pt,100,449.0,12501.0,,22,,4796,2.6065471226021684,1
po_podkarpackie,100,11244.0,51762.0,,10,,1868,27.70985010706638,1
basteksc,100,2596.0,20599.0,,23,,4540,4.537224669603524,1
maciejkoziel,100,141.0,3579.0,,11,,3339,1.0718778077268645,2
marektatala,100,24883.0,155536.0,,8,,5446,28.559676827029012,1
mechanicaiturk,100,156.0,2115.0,,12,,2800,0.7553571428571428,1
wbezsensie,100,2.0,72.0,,10,,74,0.972972972972973,3
new_wayfarer,100,80.0,655.0,,23,,296,2.2128378378378377,3
jan_ziolo,100,75.0,1090.0,,9,,588,1.85374149659864,3
rzeczpospolita,100,67269.0,181807.0,,6,,21847,8.321829084084772,3
mije78850505,100,1.0,77.0,,9,,571,0.13485113835376533,3
seszele_,100,10.0,432.0,,10,,222,1.945945945945946,3
daguuniaa,100,1066.0,28356.0,,15,,7149,3.966428871170793,3
hellosocial_pl,100,9.0,35.0,,11,,88,0.3977272727272727,4
proto_pl,100,197.0,880.0,,14,,967,0.9100310237849016,4
